DateVAST,Plate,Well,Group,Genotype,Genotype2,Age,GeneralIssues,Truncated,contourDV_regionpropsLengthOfCentralLine_pixel,contourDV_regionpropsWidth_pixel,yolkDV_regionpropsHeight_pixel,eye1DV_regionpropsArea_pixel2,eye2DV_regionpropsArea_pixel2,YdistanceEdge_eye1DV_eye2DV_pixel,EukledianDistance_eye1DV_eye2DV_pixel,AreaBeforeXMin_contourDV_yolkDV_pixel2,XdistanceBeforeXMin_contourDV_yolkDV_pixel,MeanOfArea_eye1DV_eye2DV_pixel2,DV_HeadAngle_angle,contour_regionpropsWidth_pixel,eye_regionpropsArea_pixel2,pericard_regionpropsArea_pixel2,yolk_regionpropsArea_pixel2,EukledianDistance_eye_otolith2_pixel,AngleToX_otolith2_eye_angle,AngleToX_mouth_tip_otolith2_angle,XdistanceCenter_eye_mouth_tip_pixel,ChordalDistance_pixel,MandibularArchDistance_pixel,JawEyeOtolithAngle_angle,EyeContourXdistance_pixel,HeadArea_pixel2,HeadTrunkAngle_angle,Scale_pixel_per_600um,Conversion_factor,contourDV_regionpropsLengthOfCentralLine_um,contourDV_regionpropsWidth_um,yolkDV_regionpropsHeight_um,eye1DV_regionpropsArea_um2,eye2DV_regionpropsArea_um2,YdistanceEdge_eye1DV_eye2DV_um,EukledianDistance_eye1DV_eye2DV_um,AreaBeforeXMin_contourDV_yolkDV_um2,XdistanceBeforeXMin_contourDV_yolkDV_um,MeanOfArea_eye1DV_eye2DV_um2,DV_HeadAngle_angle,contour_regionpropsWidth_um,eye_regionpropsArea_um2,pericard_regionpropsArea_um2,yolk_regionpropsArea_um2,EukledianDistance_eye_otolith2_um,AngleToX_otolith2_eye_angle,AngleToX_mouth_tip_otolith2_angle,XdistanceCenter_eye_mouth_tip_um,ChordalDistance_um,MandibularArchDistance_um,JawEyeOtolithAngle_angle,EyeContourXdistance_um,HeadArea_um2,HeadTrunkAngle_angle
2021.10.11,1,C03,PDZK1,pdzk1KO,pdzk1KO,3,No,No,577.4987,593.1,89.2,1676,1710,20.9,62.22567,8124,97.2,1693,80.63746,595,1721,1140,8479,59.58658,16.01368,28.87021,20.09719,605.257,13,23.66124,34.66241,3675,162.011,123,0.004878049,2817.066829,2893.170732,435.1219512,66.84059488,69.5800119,101.9512195,303.5398537,1570.478905,474.1463415,68.20342653,80.63746,2902.439024,70.47807258,30.92444973,1710.730303,290.6662439,16.01368,28.87021,98.03507317,2952.473171,63.41463415,23.66124,169.0849268,321.3712076,162.011
2021.10.11,1,C04,HYDIN,hydinKO,hydinKO,3,No,No,590.1446,607.9,93.2,1762,1653,26.8,64.6932,8811,106,1707.5,77.14617,608,1802,1782,9555,58.42823,18.28346,33.42196,19.79769,626.1412,13,24.30288,37.77303,4231,160.481,123,0.004878049,2878.754146,2965.365854,454.6341463,73.87612136,65.01865556,130.7317073,315.5765854,1847.322332,517.0731707,69.37671029,77.14617,2965.853659,77.26838786,75.56273647,2172.469363,285.0157561,18.28346,33.42196,96.57409756,3054.347317,63.41463415,24.30288,184.2586829,425.9693278,160.481
2021.10.11,1,C05,HYDIN,hydinKO,hydinKO,3,No,No,502.1399,516.1,118,1140,777,20.8,51.69505,4848,74.1,958.5,69.01705,488,1230,943,8396,45.31406,48.26981,45.18361,20.39528,510.9027,5,-5.26371,38.25203,3135,124.5189,123,0.004878049,2449.462927,2517.560976,575.6097561,30.92444973,14.36594884,101.4634146,252.1709756,559.2648186,361.4634146,21.86132659,69.01705,2380.487805,36,21.16,1677.401927,221.0441951,48.26981,45.18361,99.48917073,2492.208293,24.3902439,,186.5952683,233.8661511,124.5189
2021.10.11,1,C06,HYDIN,hydinKO,hydinKO,3,No,No,599.2026,616,100.3,1656,1735,29.9,66.60154,9101,105,1695.5,82.94877,618.1,2039,1407,9354,59.85041,13.40527,29.60993,21.15607,627.7783,13,26.279,39.60716,4427,164.2949,123,0.004878049,2922.939512,3004.878049,489.2682927,65.2548721,71.62938727,145.8536585,324.885561,1970.926853,512.195122,68.40500297,82.94877,3015.121951,98.92970851,47.10646044,2082.030125,291.9532195,13.40527,29.60993,103.2003415,3062.333171,63.41463415,26.279,193.2056585,466.3492921,164.2949
2021.10.11,1,C07,ARHGAP11,arhgap11KO,arhgap11KO,3,No,No,604.1091,621,83,1716,1849,24,65.08199,9237,105,1782.5,83.85708,588.1,1699,1145,8727,57.75635,15.96738,29.1901,25.53971,597.2797,17,19.82976,41.30665,4278,162.6975,123,0.004878049,2946.873659,3029.268293,404.8780488,70.06914932,81.35160024,117.0731707,317.473122,2030.271719,512.195122,75.60514575,83.85708,2868.780488,68.6877097,31.19631172,1812.267198,281.7382927,15.96738,29.1901,124.5839512,2913.559512,82.92682927,19.82976,201.4958537,435.4856395,162.6975
2021.10.11,1,C08,ARHGAP11,arhgap11KO,arhgap11KO,3,No,No,618.394,636,84.1,1615,1600,24.9,63.17621,8251,96,1607.5,83.67223,601.2,1912,1213,8221,63.67346,16.81795,29.63015,18.98596,614.1489,10,25.29838,33.20607,4093,161.6614,123,0.004878049,3016.556098,3102.439024,410.2439024,62.06365259,60.91612136,121.4634146,308.1766341,1619.964331,468.2926829,61.48854848,83.67223,2932.682927,86.9897442,35.01175491,1608.205616,310.6022439,16.81795,29.63015,92.61443902,2995.848293,48.7804878,25.29838,161.9808293,398.6353123,161.6614
2021.10.11,1,C09,ARHGAP11,arhgap11KO,arhgap11KO,3,No,No,601.8235,619,98.1,1471,1536,27.8,65.35729,7890,98.1,1503.5,80.09526,598,866,1467,9021,,,,15.87747,608.7214,20,,43.16397,,,123,0.004878049,2935.72439,3019.512195,478.5365854,51.48937537,56.14029744,135.6097561,318.8160488,1481.311124,478.5365854,53.78970256,80.09526,2917.073171,17.84547293,51.2097323,1936.429292,,,,77.45107317,2969.372683,97.56097561,,210.5559512,,
2021.10.11,1,C10,control,scrambled,control,3,No,No,621.3343,639,76.1,1658,1681,24.9,63.13975,9691,113,1669.5,80.01251,605.1,1842,1111,8738,63.33054,9.966675,27.8733,21.59401,616.0211,18,29.28055,32.07926,3980,169.6455,123,0.004878049,3030.899024,3117.073171,371.2195122,65.41258775,67.24,121.4634146,307.9987805,2234.752671,551.2195122,66.32314694,80.01251,2951.707317,80.73679952,29.37111243,1816.838644,308.9294634,9.966675,27.8733,105.3366341,3004.980976,87.80487805,29.28055,156.4841951,376.928019,169.6455
2021.10.11,1,C11,control,scrambled,control,3,No,No,604.1366,621,102.1,1238,1194,23.9,60.45845,6923,92,1216,72.38641,598,1446,1513,8441,49.27718,22.1635,40.10271,11.65612,604.0511,6,28.44246,40.4758,3881,156.5619,123,0.004878049,2947.007805,3029.268293,498.0487805,36.46981559,33.92352171,116.5853659,294.9192683,1140.46232,448.7804878,35.1851517,72.38641,2917.073171,49.75409875,54.47160024,1695.430839,240.3764878,22.1635,40.10271,56.85912195,2946.590732,29.26829268,28.44246,197.4429268,358.4095419,156.5619
2021.10.11,1,C12,control,uninjected,control,3,No,No,632.6526,649.1,86.1,1800,1621,27.8,67.90946,9090,104.1,1710.5,75.68892,608,1894,1167,8711,61.31599,15.81429,26.99306,27.1443,620.0188,13,18.03117,37.39704,4344,162.855,123,0.004878049,3086.110244,3166.341463,420,77.09696609,62.5256633,135.6097561,331.2656585,1966.165378,507.804878,69.62070791,75.68892,2965.853659,85.35957168,32.40663891,1805.628102,299.1023902,15.81429,26.99306,132.4112195,3024.481951,63.41463415,18.03117,182.4245854,449.0264366,162.855
